category,n_samples,human_like_rate_pct,context_success_pct,incorrect_word_rate_pct,number_mistake_rate_pct,conjunct_mistake_rate_pct,notes_rate_pct,slightly_or_very_robotic_pct
Code-Mix,40,85.0,0.0,95.0,0.0,0.0,0.0,15.0
Conjuncts,60,83.3,50.0,0.0,0.0,0.0,6.7,16.7
Long_Form,40,100.0,,5.0,0.0,0.0,0.0,0.0
Named_Entity,40,100.0,,0.0,0.0,0.0,0.0,0.0
Numbers,60,80.0,66.7,16.7,6.7,0.0,6.7,20.0
Phonetics,60,63.3,33.3,5.0,0.0,0.0,11.7,36.7
Prosody,60,55.0,73.1,3.3,0.0,0.0,10.0,45.0
Stress_Test,40,100.0,100.0,0.0,0.0,0.0,0.0,0.0
